date,location,location_name,population,value,season,season_week,epiyear,epiweek,weekly_rate,state_mean,state_std,zflu
2022-05-14,27,Minnesota,5737915,17.0,2021/2022,31,2022,19,0.293449972217192,89.7,180.09881738553594,-0.40366728141457897
2022-05-21,27,Minnesota,5737915,13.0,2021/2022,32,2022,20,0.224402919930794,89.7,180.09881738553594,-0.42587731065334533
2021-10-09,28,Mississippi,2939690,2.0,2021/2022,0,2021,40,0.0679568270277892,61.59537572254335,87.4439912538232,-0.681526253182522
2021-10-16,28,Mississippi,2939690,5.0,2021/2022,1,2021,41,0.169892067569473,61.59537572254335,87.4439912538232,-0.6472185785557782
2021-10-23,28,Mississippi,2939690,14.0,2021/2022,2,2021,42,0.475697789194525,61.59537572254335,87.4439912538232,-0.5442955546755467
2021-10-30,28,Mississippi,2939690,2.0,2021/2022,3,2021,43,0.0679568270277892,61.59537572254335,87.4439912538232,-0.681526253182522
2021-11-06,28,Mississippi,2939690,6.0,2021/2022,4,2021,44,0.203870481083368,61.59537572254335,87.4439912538232,-0.6357826870135302
2021-11-13,28,Mississippi,2939690,8.0,2021/2022,5,2021,45,0.271827308111157,61.59537572254335,87.4439912538232,-0.6129109039290344
2021-11-20,28,Mississippi,2939690,10.0,2021/2022,6,2021,46,0.339784135138946,61.59537572254335,87.4439912538232,-0.5900391208445385
2021-11-27,28,Mississippi,2939690,14.0,2021/2022,7,2021,47,0.475697789194525,61.59537572254335,87.4439912538232,-0.5442955546755467
2021-12-04,28,Mississippi,2939690,24.0,2021/2022,8,2021,48,0.815481924333471,61.59537572254335,87.4439912538232,-0.42993663925306724
2021-12-11,28,Mississippi,2939690,10.0,2021/2022,9,2021,49,0.339784135138946,61.59537572254335,87.4439912538232,-0.5900391208445385
2021-12-18,28,Mississippi,2939690,16.0,2021/2022,10,2021,50,0.543654616222314,61.59537572254335,87.4439912538232,-0.5214237715910508
2021-12-25,28,Mississippi,2939690,29.0,2021/2022,11,2021,51,0.985373991902944,61.59537572254335,87.4439912538232,-0.3727571815418275
2022-01-01,28,Mississippi,2939690,52.0,2021/2022,12,2021,52,1.76687750272252,61.59537572254335,87.4439912538232,-0.10973167607012478
2022-01-08,28,Mississippi,2939690,37.0,2021/2022,13,2022,1,1.2572013000141,61.59537572254335,87.4439912538232,-0.28127004920384396
2022-01-15,28,Mississippi,2939690,36.0,2021/2022,14,2022,2,1.22322288650021,61.59537572254335,87.4439912538232,-0.2927059407460919
2022-01-22,28,Mississippi,2939690,17.0,2021/2022,15,2022,3,0.577633029736209,61.59537572254335,87.4439912538232,-0.5099878800488029
